# Energy_GeV  sigma_cm2
4.00420000e-01 4.60496180e-14
4.02820000e-01 2.88446221e-13
4.04040000e-01 4.58727150e-11
4.11470000e-01 1.83984886e-14
4.15120000e-01 5.52747785e-14
4.17740000e-01 3.34592229e-13
4.23160000e-01 5.01766232e-11
4.26590000e-01 2.50404572e-14
4.30360000e-01 6.60133579e-14
4.33200000e-01 3.84844933e-13
4.42270000e-01 3.40906308e-14
4.43190000e-01 5.47175430e-11
4.46150000e-01 7.84754571e-14
4.49240000e-01 4.39412185e-13
4.58520000e-01 4.62253243e-14
4.62530000e-01 9.28935866e-14
4.64160000e-01 5.95035133e-11
4.65880000e-01 4.98491300e-13
4.75370000e-01 6.22328208e-14
4.79510000e-01 1.09572230e-13
4.83130000e-01 5.62251712e-13
4.86120000e-01 6.45396705e-11
4.92840000e-01 8.30135633e-14
4.97110000e-01 1.28866450e-13
5.01020000e-01 6.30827071e-13
5.09130000e-01 7.02182200e-11
5.10960000e-01 1.09578259e-13
5.15360000e-01 1.51187154e-13
5.19570000e-01 7.04295684e-13
5.29740000e-01 1.43169190e-13
5.33220000e-01 7.66016358e-11
5.34280000e-01 1.77109810e-13
5.38810000e-01 7.82703201e-13
5.49200000e-01 1.85261885e-13
5.53890000e-01 2.07402333e-13
5.58450000e-01 8.45077129e-11
5.58760000e-01 8.66000159e-13
5.69390000e-01 2.37430990e-13
5.74220000e-01 2.42768071e-13
5.79450000e-01 9.54088525e-13
5.84880000e-01 9.27256363e-11
5.90310000e-01 3.01535719e-13
5.95300000e-01 2.83752973e-13
6.00900000e-01 1.04678974e-12
6.12010000e-01 3.79572244e-13
6.12560000e-01 1.00280631e-10
6.17150000e-01 3.31203025e-13
6.23150000e-01 1.14382346e-12
6.34500000e-01 4.73999807e-13
6.39810000e-01 3.86483747e-13
6.41550000e-01 1.11364884e-10
6.46230000e-01 1.24482679e-12
6.57820000e-01 5.87367409e-13
6.63300000e-01 4.51168608e-13
6.70150000e-01 1.34938512e-12
6.71910000e-01 1.18417288e-10
6.81990000e-01 7.22308185e-13
6.87640000e-01 5.26814480e-13
6.94970000e-01 1.45710640e-12
7.03700000e-01 1.28300558e-10
7.07060000e-01 8.81424964e-13
7.12890000e-01 6.15346224e-13
7.20700000e-01 1.56767563e-12
7.33040000e-01 1.06747272e-12
7.37000000e-01 1.38970343e-10
7.39060000e-01 7.20176233e-13
7.47390000e-01 1.68078680e-12
7.59980000e-01 1.28315494e-12
7.66180000e-01 8.45282177e-13
7.71880000e-01 1.52220513e-10
7.75060000e-01 1.79621139e-12
7.87910000e-01 1.53168762e-12
7.94310000e-01 9.94444609e-13
8.03760000e-01 1.91384248e-12
8.08410000e-01 1.62586090e-10
8.16870000e-01 1.81653296e-12
8.23470000e-01 1.17216360e-12
8.33520000e-01 2.03363836e-12
8.46660000e-01 1.75091726e-10
8.46890000e-01 2.14147505e-12
8.53700000e-01 1.38417218e-12
8.64380000e-01 2.15565332e-12
8.78010000e-01 2.51054428e-12
8.85030000e-01 1.63726015e-12
8.86730000e-01 1.88215737e-10
8.96390000e-01 2.28001230e-12
9.10280000e-01 2.92816305e-12
9.17520000e-01 1.93777962e-12
9.28690000e-01 2.04273707e-10
9.29580000e-01 2.40694970e-12
9.43730000e-01 3.39947860e-12
9.51200000e-01 2.29272764e-12
9.64000000e-01 2.53669284e-12
9.72640000e-01 2.18864739e-10
9.78410000e-01 3.92937503e-12
9.86120000e-01 2.71044411e-12
9.99690000e-01 2.66942927e-12
1.01437000e+00 4.52282164e-12
1.01867000e+00 2.37831093e-10
1.02232000e+00 3.20078744e-12
1.03671000e+00 2.80536088e-12
1.05165000e+00 5.18493795e-12
1.05985000e+00 3.77301561e-12
1.06687000e+00 2.54475808e-10
1.07509000e+00 2.94476141e-12
1.09030000e+00 5.92071764e-12
1.09875000e+00 4.43632310e-12
1.11490000e+00 3.08782516e-12
1.11736000e+00 2.72953496e-10
1.13037000e+00 6.73557620e-12
1.13909000e+00 5.20190771e-12
1.15618000e+00 3.23518857e-12
1.17024000e+00 2.91766283e-10
1.17191000e+00 7.63539322e-12
1.18090000e+00 6.08464302e-12
1.19899000e+00 3.38947396e-12
1.21498000e+00 8.62597894e-12
1.22425000e+00 7.09858745e-12
1.22561000e+00 3.10732142e-10
1.24339000e+00 3.55364504e-12
1.25963000e+00 9.71344919e-12
1.26919000e+00 8.25734575e-12
1.28361000e+00 3.31859896e-10
1.28943000e+00 3.72830591e-12
1.30592000e+00 1.09055849e-11
1.31578000e+00 9.57556581e-12
1.33717000e+00 3.91329958e-12
1.34436000e+00 3.52672924e-10
1.35392000e+00 1.22131392e-11
1.36408000e+00 1.10694923e-11
1.38668000e+00 4.10909912e-12
1.40367000e+00 1.36503019e-11
1.40797000e+00 3.74388789e-10
1.41415000e+00 1.27569429e-11
1.43803000e+00 4.31584396e-12
1.45526000e+00 1.52338429e-11
1.46606000e+00 1.46569897e-11
1.47460000e+00 3.97670104e-10
1.49128000e+00 4.53379273e-12
1.50874000e+00 1.69823651e-11
1.51988000e+00 1.67890624e-11
1.54438000e+00 4.21055352e-10
1.54649000e+00 4.76309185e-12
1.56419000e+00 1.89103652e-11
1.57567000e+00 1.91706781e-11
1.60376000e+00 5.00360466e-12
1.61747000e+00 4.42320377e-10
1.62168000e+00 2.10325317e-11
1.63351000e+00 2.18194869e-11
1.66314000e+00 5.25466731e-12
1.68127000e+00 2.33631130e-11
1.69348000e+00 2.47564804e-11
1.69401000e+00 4.67275494e-10
1.72472000e+00 5.51619961e-12
1.74306000e+00 2.59149218e-11
1.75564000e+00 2.80053185e-11
1.77417000e+00 4.89606095e-10
1.78858000e+00 5.78744018e-12
1.80712000e+00 2.87015550e-11
1.82009000e+00 3.15870521e-11
1.85481000e+00 6.06828433e-12
1.85813000e+00 5.13985384e-10
1.87353000e+00 3.17366367e-11
1.88690000e+00 3.55250432e-11
1.92349000e+00 6.35835284e-12
1.94239000e+00 3.50350268e-11
1.94606000e+00 5.36826301e-10
1.95616000e+00 3.98438099e-11
1.99471000e+00 6.65681144e-12
2.01377000e+00 3.86142693e-11
2.02797000e+00 4.45688556e-11
2.03815000e+00 5.63183593e-10
2.06857000e+00 6.96380704e-12
2.08778000e+00 4.24895322e-11
2.10242000e+00 4.97265832e-11
2.13460000e+00 5.86489516e-10
2.14516000e+00 7.27914616e-12
2.16451000e+00 4.66769214e-11
2.17959000e+00 5.53450269e-11
2.22459000e+00 7.60274936e-12
2.23562000e+00 6.11245590e-10
2.24405000e+00 5.11940385e-11
2.25960000e+00 6.14529999e-11
2.30696000e+00 7.93456010e-12
2.32652000e+00 5.60579785e-11
2.34141000e+00 6.34822526e-10
2.34255000e+00 6.80837817e-11
2.39238000e+00 8.27456723e-12
2.41203000e+00 6.12869595e-11
2.42854000e+00 7.52683107e-11
2.45221000e+00 6.58236463e-10
2.48096000e+00 8.62291952e-12
2.50067000e+00 6.69010456e-11
2.51769000e+00 8.30332006e-11
2.56826000e+00 6.83689074e-10
2.57283000e+00 8.97883901e-12
2.59257000e+00 7.29190140e-11
2.61011000e+00 9.14102776e-11
2.66809000e+00 9.34306625e-12
2.68785000e+00 7.93615275e-11
2.68979000e+00 7.04738020e-10
2.70592000e+00 1.00436193e-10
2.76688000e+00 9.71503037e-12
2.78663000e+00 8.62501438e-11
2.80525000e+00 1.10145782e-10
2.81708000e+00 7.31957310e-10
2.86933000e+00 1.00949777e-11
2.88904000e+00 9.36066876e-11
2.90823000e+00 1.20570922e-10
2.95039000e+00 7.55216388e-10
2.97558000e+00 1.04825184e-11
2.99521000e+00 1.01453543e-10
3.01498000e+00 1.31746500e-10
3.08576000e+00 1.08785563e-11
3.09001000e+00 7.78290510e-10
3.10529000e+00 1.09812082e-10
3.12566000e+00 1.43707507e-10
3.20001000e+00 1.12819819e-11
3.21941000e+00 1.18705701e-10
3.23624000e+00 8.01641072e-10
3.24040000e+00 1.56492002e-10
3.31850000e+00 1.16927933e-11
3.33773000e+00 1.28156358e-10
3.35935000e+00 1.70133369e-10
3.38938000e+00 8.23585499e-10
3.44138000e+00 1.21122274e-11
3.46039000e+00 1.38188383e-10
3.48266000e+00 1.84665772e-10
3.54977000e+00 8.47204593e-10
3.56880000e+00 1.25388945e-11
3.58757000e+00 1.48824952e-10
3.61050000e+00 2.00126323e-10
3.70094000e+00 1.29722862e-11
3.71776000e+00 8.70001621e-10
3.71941000e+00 1.60093018e-10
3.74304000e+00 2.16553004e-10
3.83798000e+00 1.34140833e-11
3.85610000e+00 1.72015035e-10
3.88044000e+00 2.33984183e-10
3.89369000e+00 8.90716107e-10
3.98009000e+00 1.38629859e-11
3.99782000e+00 1.84614098e-10
4.02289000e+00 2.52453987e-10
4.07795000e+00 9.10556088e-10
4.12746000e+00 1.43197287e-11
4.14474000e+00 1.97915389e-10
4.17056000e+00 2.72001322e-10
4.27093000e+00 9.35247684e-10
4.28029000e+00 1.47836891e-11
4.29706000e+00 2.11941877e-10
4.32365000e+00 2.92661623e-10
4.43878000e+00 1.52549377e-11
4.45498000e+00 2.26719661e-10
4.47304000e+00 9.56590361e-10
4.48237000e+00 3.14471151e-10
4.60313000e+00 1.57327241e-11
4.61871000e+00 2.42275382e-10
4.64691000e+00 3.37470007e-10
4.68471000e+00 9.78039646e-10
4.77357000e+00 1.62181816e-11
4.78845000e+00 2.58637592e-10
4.81749000e+00 3.61701197e-10
4.90640000e+00 9.97037880e-10
4.95033000e+00 1.67101788e-11
4.96443000e+00 2.75832574e-10
4.99433000e+00 3.87212132e-10
5.13362000e+00 1.72090179e-11
5.13858000e+00 1.01655426e-09
5.14687000e+00 2.93891426e-10
5.17767000e+00 4.14043838e-10
5.32371000e+00 1.77148421e-11
5.33602000e+00 3.12846013e-10
5.36773000e+00 4.42237089e-10
5.38175000e+00 1.03840496e-09
5.52083000e+00 1.82270781e-11
5.53213000e+00 3.32738481e-10
5.56477000e+00 4.71843390e-10
5.63643000e+00 1.05499750e-09
5.72525000e+00 1.87460313e-11
5.73544000e+00 3.53623133e-10
