# Energy_GeV  sigma_cm2
4.00420000e-01 3.78691895e-14
4.02820000e-01 2.88446221e-13
4.04040000e-01 2.68655469e-10
4.11470000e-01 2.96144745e-13
4.15120000e-01 4.79325392e-14
4.17740000e-01 3.34592229e-13
4.23160000e-01 2.96827627e-10
4.26590000e-01 3.57977260e-13
4.30360000e-01 6.10051136e-14
4.33200000e-01 3.84844933e-13
4.42270000e-01 4.29709959e-13
4.43190000e-01 3.25970265e-10
4.46150000e-01 7.80695141e-14
4.49240000e-01 4.39412185e-13
4.58520000e-01 5.12640193e-13
4.62530000e-01 1.00376170e-13
4.64160000e-01 3.51979896e-10
4.65880000e-01 4.98491300e-13
4.75370000e-01 6.07995058e-13
4.79510000e-01 1.29525092e-13
4.83130000e-01 5.62251712e-13
4.86120000e-01 3.79322434e-10
4.92840000e-01 7.16807403e-13
4.97110000e-01 1.67449309e-13
5.01020000e-01 6.30827071e-13
5.09130000e-01 4.14170962e-10
5.10960000e-01 8.39832565e-13
5.15360000e-01 2.16451388e-13
5.19570000e-01 7.04295684e-13
5.29740000e-01 9.79204313e-13
5.33220000e-01 4.49737510e-10
5.34280000e-01 2.79470358e-13
5.38810000e-01 7.82703201e-13
5.49200000e-01 1.13860618e-12
5.53890000e-01 3.60199794e-13
5.58450000e-01 4.89092515e-10
5.58760000e-01 8.66000159e-13
5.69390000e-01 1.31924860e-12
5.74220000e-01 4.62771758e-13
5.79450000e-01 9.54088525e-13
5.84880000e-01 5.24902712e-10
5.90310000e-01 1.51875716e-12
5.95300000e-01 5.91748512e-13
6.00900000e-01 1.04678974e-12
6.12010000e-01 1.73695280e-12
6.12560000e-01 5.63166260e-10
6.17150000e-01 7.52743963e-13
6.23150000e-01 1.14382346e-12
6.34500000e-01 1.98082704e-12
6.39810000e-01 9.52627790e-13
6.41550000e-01 6.02595310e-10
6.46230000e-01 1.24482679e-12
6.57820000e-01 2.25724966e-12
6.63300000e-01 1.19938983e-12
6.70150000e-01 1.34938512e-12
6.71910000e-01 6.38934240e-10
6.81990000e-01 2.57010233e-12
6.87640000e-01 1.50181728e-12
6.94970000e-01 1.45710640e-12
7.03700000e-01 6.76419204e-10
7.07060000e-01 2.92341758e-12
7.12890000e-01 1.86923369e-12
7.20700000e-01 1.56767563e-12
7.33040000e-01 3.32465429e-12
7.37000000e-01 7.15284862e-10
7.39060000e-01 2.31252032e-12
7.47390000e-01 1.68078680e-12
7.59980000e-01 3.78365415e-12
7.66180000e-01 2.84368001e-12
7.71880000e-01 7.54303526e-10
7.75060000e-01 1.79621139e-12
7.87910000e-01 4.31801244e-12
7.94310000e-01 3.47534972e-12
8.03760000e-01 1.91384248e-12
8.08410000e-01 7.89290990e-10
8.16870000e-01 4.94978083e-12
8.23470000e-01 4.22240702e-12
8.33520000e-01 2.03363836e-12
8.46660000e-01 8.26265663e-10
8.46890000e-01 5.70483232e-12
8.53700000e-01 5.09996357e-12
8.64380000e-01 2.15565332e-12
8.78010000e-01 6.61294402e-12
8.85030000e-01 6.12472534e-12
8.86730000e-01 8.61096739e-10
8.96390000e-01 2.28001230e-12
9.10280000e-01 7.70660201e-12
9.17520000e-01 7.31321270e-12
9.28690000e-01 8.97673020e-10
9.29580000e-01 2.40694970e-12
9.43730000e-01 9.02383184e-12
9.51200000e-01 8.68424458e-12
9.64000000e-01 2.53669284e-12
9.72640000e-01 9.33293904e-10
9.78410000e-01 1.06126527e-11
9.86120000e-01 1.02570461e-11
9.99690000e-01 2.66942927e-12
1.01437000e+00 1.25317017e-11
1.01867000e+00 9.70181753e-10
1.02232000e+00 1.20525666e-11
1.03671000e+00 2.80536088e-12
1.05165000e+00 1.48519190e-11
1.05985000e+00 1.40904764e-11
1.06687000e+00 1.00296274e-09
1.07509000e+00 2.94476141e-12
1.09030000e+00 1.76561911e-11
1.09875000e+00 1.63904612e-11
1.11490000e+00 3.08782516e-12
1.11736000e+00 1.04096492e-09
1.13037000e+00 2.10273206e-11
1.13909000e+00 1.89727750e-11
1.15618000e+00 3.23518857e-12
1.17024000e+00 1.07557220e-09
1.17191000e+00 2.50473001e-11
1.18090000e+00 2.18627508e-11
1.19899000e+00 3.38947396e-12
1.21498000e+00 2.98090923e-11
1.22425000e+00 2.50803968e-11
1.22561000e+00 1.11121823e-09
1.24339000e+00 3.55364504e-12
1.25963000e+00 3.54210951e-11
1.26919000e+00 2.86422292e-11
1.28361000e+00 1.14356562e-09
1.28943000e+00 3.72830591e-12
1.30592000e+00 4.19974295e-11
1.31578000e+00 3.25706804e-11
1.33717000e+00 3.91329958e-12
1.34436000e+00 1.17838117e-09
1.35392000e+00 4.96525009e-11
1.36408000e+00 3.69012060e-11
1.38668000e+00 4.10909912e-12
1.40367000e+00 5.85082428e-11
1.40797000e+00 1.21297461e-09
1.41415000e+00 4.16751890e-11
1.43803000e+00 4.31584396e-12
1.45526000e+00 6.86703491e-11
1.46606000e+00 4.69400356e-11
1.47460000e+00 1.24829068e-09
1.49128000e+00 4.53379273e-12
1.50874000e+00 8.02598552e-11
1.51988000e+00 5.27486358e-11
1.54438000e+00 1.28076095e-09
1.54649000e+00 4.76309185e-12
1.56419000e+00 9.34054357e-11
1.57567000e+00 5.91604358e-11
1.60376000e+00 5.00360466e-12
1.61747000e+00 1.31036750e-09
1.62168000e+00 1.08229742e-10
1.63351000e+00 6.62282575e-11
1.66314000e+00 5.25466731e-12
1.68127000e+00 1.24795547e-10
1.69348000e+00 7.39694904e-11
1.69401000e+00 1.34084837e-09
1.72472000e+00 5.51619961e-12
1.74306000e+00 1.43140625e-10
1.75564000e+00 8.23973701e-11
1.77417000e+00 1.36820070e-09
1.78858000e+00 5.78744018e-12
1.80712000e+00 1.63345539e-10
1.82009000e+00 9.15438597e-11
1.85481000e+00 6.06828433e-12
1.85813000e+00 1.39472285e-09
1.87353000e+00 1.85493922e-10
1.88690000e+00 1.01450130e-10
1.92349000e+00 6.35835284e-12
1.94239000e+00 2.09633116e-10
1.94606000e+00 1.41891716e-09
1.95616000e+00 1.12130321e-10
1.99471000e+00 6.65681144e-12
2.01377000e+00 2.35802583e-10
2.02797000e+00 1.23584122e-10
2.03815000e+00 1.44323144e-09
2.06857000e+00 6.96380704e-12
2.08778000e+00 2.64035850e-10
2.10242000e+00 1.35825796e-10
2.13460000e+00 1.46456036e-09
2.14516000e+00 7.27914616e-12
2.16451000e+00 2.94373455e-10
2.17959000e+00 1.48877335e-10
2.22459000e+00 7.60274936e-12
2.23562000e+00 1.48423733e-09
2.24405000e+00 3.26857853e-10
2.25960000e+00 1.62747641e-10
2.30696000e+00 7.93456010e-12
2.32652000e+00 3.61516327e-10
2.34141000e+00 1.50228682e-09
2.34255000e+00 1.77442249e-10
2.39238000e+00 8.27456723e-12
2.41203000e+00 3.98375940e-10
2.42854000e+00 1.92969025e-10
2.45221000e+00 1.51958794e-09
2.48096000e+00 8.62291952e-12
2.50067000e+00 4.37466729e-10
2.51769000e+00 2.09334254e-10
2.56826000e+00 1.53604936e-09
2.57283000e+00 8.97883901e-12
2.59257000e+00 4.78801474e-10
2.61011000e+00 2.26548598e-10
2.66809000e+00 9.34306625e-12
2.68785000e+00 5.22399217e-10
2.68979000e+00 1.54818078e-09
2.70592000e+00 2.44624917e-10
2.76688000e+00 9.71503037e-12
2.78663000e+00 5.68291680e-10
2.80525000e+00 2.63576290e-10
2.81708000e+00 1.56971750e-09
