# Energy_GeV  sigma_cm2
2.92620000e-01 7.10207482e-16
2.95620000e-01 2.66900369e-16
2.96030000e-01 6.58581280e-16
2.97390000e-01 1.15500650e-15
2.97720000e-01 1.79331821e-11
3.01820000e-01 2.17645366e-17
3.02000000e-01 0.00000000e+00
3.02120000e-01 1.55029952e-12
3.03750000e-01 1.56646489e-15
3.05710000e-01 5.29130580e-16
3.07270000e-01 1.46572804e-15
3.07540000e-01 2.29117859e-15
3.09020000e-01 1.95462344e-11
3.12270000e-01 1.16499882e-16
3.13490000e-01 0.00000000e+00
3.13670000e-01 1.86134825e-12
3.15300000e-01 3.87982516e-15
3.16150000e-01 9.09384771e-16
3.18040000e-01 3.94490063e-15
3.18940000e-01 3.02127161e-15
3.20750000e-01 2.10196927e-11
3.23090000e-01 4.24747352e-16
3.25420000e-01 0.00000000e+00
3.25660000e-01 2.21313015e-12
3.26950000e-01 1.39038744e-15
3.27290000e-01 8.24708944e-15
3.28890000e-01 6.04932904e-15
3.31050000e-01 5.56616945e-15
3.32920000e-01 2.21844261e-11
3.34290000e-01 1.33942625e-15
3.37800000e-01 0.00000000e+00
3.38110000e-01 2.60870374e-12
3.38120000e-01 1.98158152e-15
3.39740000e-01 1.59654814e-14
3.40110000e-01 8.64615286e-15
3.43620000e-01 9.57127091e-15
3.45550000e-01 2.38203002e-11
3.45870000e-01 3.31831088e-15
3.49660000e-01 2.70346962e-15
3.50660000e-01 0.00000000e+00
3.51040000e-01 3.05273343e-12
3.51720000e-01 1.18061936e-14
3.52660000e-01 2.92050921e-14
3.56670000e-01 1.57450965e-14
3.57850000e-01 6.73900155e-15
3.58670000e-01 2.56568627e-11
3.61600000e-01 3.56861738e-15
3.63720000e-01 1.56231718e-14
3.64010000e-01 0.00000000e+00
3.64460000e-01 3.55063808e-12
3.66070000e-01 5.10621388e-14
3.70220000e-01 2.51208996e-14
3.70250000e-01 1.16344723e-14
3.72280000e-01 2.72123781e-11
3.73950000e-01 4.58737156e-15
3.76140000e-01 2.01876649e-14
3.77860000e-01 0.00000000e+00
3.78400000e-01 4.10845348e-12
3.79990000e-01 8.67618790e-14
3.83070000e-01 1.81380228e-14
3.84280000e-01 3.93898800e-14
3.86400000e-01 2.93349494e-11
3.86720000e-01 5.80108253e-15
3.88970000e-01 2.55999313e-14
3.92240000e-01 0.00000000e+00
3.92870000e-01 4.73235534e-12
3.94440000e-01 1.43825302e-13
3.96340000e-01 2.63454959e-14
3.98870000e-01 6.09233361e-14
3.99930000e-01 7.28849088e-15
4.01070000e-01 3.09213931e-11
4.02240000e-01 3.19412972e-14
4.07170000e-01 0.00000000e+00
4.07890000e-01 5.42756202e-12
4.09440000e-01 2.37388347e-13
4.10080000e-01 3.67144430e-14
4.13590000e-01 8.99375242e-15
4.14020000e-01 9.43487075e-14
4.15970000e-01 3.93440979e-14
4.16290000e-01 3.41604732e-11
4.22660000e-01 0.00000000e+00
4.23480000e-01 6.19708372e-12
4.24280000e-01 4.97851823e-14
4.25010000e-01 3.88260118e-13
4.27710000e-01 1.07139859e-14
4.29740000e-01 1.45977348e-13
4.30170000e-01 4.80128531e-14
4.32080000e-01 3.57312018e-11
4.38750000e-01 1.81275694e-13
4.38980000e-01 6.57746436e-14
4.39680000e-01 7.04104765e-12
4.41180000e-01 6.21095777e-13
4.42320000e-01 1.26337042e-14
4.44850000e-01 5.81068070e-14
4.46060000e-01 2.22852329e-13
4.48480000e-01 3.68314540e-11
4.54190000e-01 8.48201433e-14
4.55440000e-01 4.18287310e-13
4.56490000e-01 7.95694643e-12
4.57420000e-01 1.57319219e-14
4.57950000e-01 9.65291522e-13
4.60030000e-01 6.96640670e-14
4.63000000e-01 3.32917088e-13
4.65500000e-01 4.07202420e-11
4.69920000e-01 1.06997219e-13
4.72780000e-01 6.11542066e-13
4.73050000e-01 2.12415181e-14
4.73940000e-01 8.94069164e-12
4.75370000e-01 1.43952766e-12
4.75720000e-01 8.28065742e-14
4.80580000e-01 4.81423427e-13
4.83160000e-01 4.32077379e-11
4.86200000e-01 1.32550690e-13
4.89200000e-01 3.06346600e-14
4.90770000e-01 7.99376802e-13
4.91960000e-01 9.78564506e-14
4.92060000e-01 9.98802601e-12
4.93450000e-01 2.04655952e-12
4.98830000e-01 6.68985850e-13
5.01500000e-01 4.47054680e-11
5.03050000e-01 1.62069526e-13
5.05910000e-01 4.52666519e-14
5.08750000e-01 1.15197034e-13
5.09450000e-01 9.89436719e-13
5.10870000e-01 1.10952145e-11
5.12210000e-01 2.78772661e-12
5.17770000e-01 8.96171862e-13
5.20480000e-01 1.96099053e-13
5.20530000e-01 4.75407718e-11
5.23180000e-01 6.56119726e-14
5.26110000e-01 1.35072513e-13
5.28830000e-01 1.18430489e-12
5.30410000e-01 1.22601876e-11
5.31690000e-01 3.66470930e-12
5.37430000e-01 1.16434047e-12
5.38510000e-01 2.34744341e-13
5.40280000e-01 4.95778266e-11
5.41050000e-01 9.20601710e-14
5.44060000e-01 1.57760131e-13
5.48960000e-01 1.38489375e-12
5.50690000e-01 1.34826688e-11
5.51910000e-01 4.68000004e-12
5.57160000e-01 2.78426788e-13
5.57840000e-01 1.47502112e-12
5.59530000e-01 1.25702775e-13
5.60780000e-01 5.29275189e-11
5.62630000e-01 1.83739245e-13
5.69850000e-01 1.59138666e-12
5.71740000e-01 1.47642110e-11
5.72900000e-01 5.83877326e-12
5.76470000e-01 3.27220750e-13
5.78640000e-01 1.67920264e-13
5.79020000e-01 1.83081062e-12
5.81830000e-01 2.13610753e-13
5.82060000e-01 5.39546100e-11
5.91540000e-01 1.80359221e-12
5.93600000e-01 1.61080477e-11
5.94690000e-01 7.14673001e-12
5.96440000e-01 3.81249673e-13
5.98400000e-01 2.20112034e-13
6.01010000e-01 2.23428879e-12
6.01680000e-01 2.47877697e-13
6.04150000e-01 5.80700213e-11
6.14050000e-01 2.02110529e-12
6.16300000e-01 1.75183528e-11
6.17100000e-01 4.40545745e-13
6.17300000e-01 8.61030654e-12
6.18830000e-01 2.83812895e-13
6.22210000e-01 2.87046017e-13
6.23830000e-01 2.68878249e-12
6.27070000e-01 5.95053742e-11
6.37420000e-01 2.24339106e-12
6.38480000e-01 5.05297951e-13
6.39860000e-01 1.89994267e-11
6.39970000e-01 3.60800548e-13
6.40780000e-01 1.02337018e-11
6.43450000e-01 3.31909015e-13
6.47520000e-01 3.19756588e-12
6.50870000e-01 6.61113403e-11
6.60600000e-01 5.75215818e-13
6.61680000e-01 2.46983406e-12
6.61820000e-01 4.53300247e-13
6.64330000e-01 2.05564146e-11
6.65150000e-01 1.20229328e-11
6.65400000e-01 3.83581459e-13
6.72110000e-01 3.76488290e-12
6.75570000e-01 6.68922574e-11
6.83490000e-01 6.50152041e-13
6.84420000e-01 5.63647720e-13
6.86860000e-01 2.69979426e-12
6.88110000e-01 4.43447475e-13
6.89730000e-01 2.21931176e-11
6.90440000e-01 1.39831361e-11
6.97640000e-01 4.39557677e-12
7.01200000e-01 7.11615255e-11
7.07160000e-01 7.29661008e-13
7.07800000e-01 6.94460989e-13
7.11590000e-01 5.13373737e-13
7.13000000e-01 2.93263857e-12
7.16100000e-01 2.39115390e-11
7.16700000e-01 1.61174169e-11
7.24130000e-01 5.09642473e-12
7.27810000e-01 7.24428836e-11
7.31660000e-01 8.13367495e-13
7.31970000e-01 8.48154949e-13
7.35880000e-01 5.95527741e-13
7.40130000e-01 3.16756481e-12
7.43480000e-01 2.57140571e-11
7.43960000e-01 1.84300769e-11
7.51630000e-01 5.87556253e-12
7.55430000e-01 7.71044946e-11
7.56960000e-01 1.02666511e-12
7.57010000e-01 9.00914707e-13
7.60990000e-01 6.92600830e-13
7.68300000e-01 3.40396376e-12
7.71910000e-01 2.76003117e-11
7.72250000e-01 2.09248497e-11
7.80170000e-01 6.74478465e-12
7.82820000e-01 1.23212159e-12
7.83240000e-01 9.92676057e-13
7.84100000e-01 8.12125833e-11
7.86960000e-01 8.07207093e-13
7.97540000e-01 3.64103635e-12
8.01420000e-01 2.95708736e-11
8.01620000e-01 2.36037191e-11
8.09550000e-01 1.46755934e-12
8.09790000e-01 7.72225862e-12
8.10370000e-01 1.08802908e-12
8.13810000e-01 9.41945151e-13
8.13850000e-01 8.44209169e-11
8.27890000e-01 3.87811716e-12
8.32060000e-01 3.16237761e-11
8.32100000e-01 2.64697216e-11
8.37200000e-01 1.73582769e-12
8.38450000e-01 1.18636586e-12
8.40550000e-01 8.83243478e-12
8.41580000e-01 1.10076726e-12
8.44730000e-01 8.97542866e-11
8.59400000e-01 4.11456969e-12
8.63750000e-01 2.95237030e-11
8.63870000e-01 3.37574668e-11
8.65790000e-01 2.04019184e-12
8.67490000e-01 1.28815866e-12
8.70300000e-01 1.29024759e-12
8.72460000e-01 1.01211983e-11
8.76790000e-01 9.36652703e-11
8.92110000e-01 4.34979045e-12
