# Energy_GeV  sigma_cm2
3.40110000e-01 4.69037402e-15
3.43620000e-01 9.91985513e-14
3.45870000e-01 3.31831088e-15
3.49660000e-01 4.52131826e-14
3.50660000e-01 1.52226208e-10
3.51040000e-01 9.18462776e-12
3.51720000e-01 6.68001946e-15
3.52660000e-01 8.99342515e-14
3.56670000e-01 1.92652096e-13
3.57850000e-01 6.73900155e-15
3.61600000e-01 6.26855685e-14
3.63720000e-01 9.17480748e-15
3.64010000e-01 1.63877683e-10
3.64460000e-01 1.11564880e-11
3.66070000e-01 1.58843164e-13
3.70220000e-01 3.55227250e-13
3.70250000e-01 1.16344723e-14
3.73950000e-01 8.46587997e-14
3.76140000e-01 1.22612176e-14
3.77860000e-01 1.78143582e-10
3.78400000e-01 1.34736497e-11
3.79990000e-01 2.73349714e-13
3.83070000e-01 1.81380228e-14
3.84280000e-01 6.33222257e-13
3.86720000e-01 1.11812341e-13
3.88970000e-01 1.60363905e-14
3.92240000e-01 1.87010661e-10
3.92870000e-01 1.61852213e-11
3.94440000e-01 4.59528021e-13
3.96340000e-01 2.63454959e-14
3.98870000e-01 1.09518978e-12
3.99930000e-01 1.44684583e-13
4.02240000e-01 2.05923343e-14
4.07170000e-01 2.08227259e-10
4.07890000e-01 1.93352448e-11
4.09440000e-01 7.72171397e-13
4.10080000e-01 3.67144430e-14
4.13590000e-01 1.83952949e-13
4.14020000e-01 1.88669763e-12
4.15970000e-01 2.59501741e-14
4.22660000e-01 2.21132932e-10
4.23480000e-01 2.29536037e-11
4.24280000e-01 4.97851823e-14
4.25010000e-01 1.28718040e-12
4.27710000e-01 2.30464312e-13
4.29740000e-01 3.20924166e-12
4.30170000e-01 3.20708335e-14
4.38750000e-01 2.30955520e-10
4.38980000e-01 6.57746436e-14
4.39680000e-01 2.70469807e-11
4.41180000e-01 2.09310523e-12
4.42320000e-01 2.85251734e-13
4.44850000e-01 3.91719211e-14
4.46060000e-01 5.27751102e-12
4.54190000e-01 8.48201433e-14
4.55440000e-01 2.49903631e-10
4.56490000e-01 3.15955627e-11
4.57420000e-01 3.49848143e-13
4.57950000e-01 3.29395707e-12
4.60030000e-01 4.79779172e-14
4.63000000e-01 8.32389035e-12
4.69920000e-01 1.06997219e-13
4.72780000e-01 2.62886768e-10
4.73050000e-01 4.25292333e-13
4.73940000e-01 3.65558601e-11
4.75370000e-01 4.94073980e-12
4.75720000e-01 5.95184770e-14
4.80580000e-01 1.24557733e-11
4.86200000e-01 1.32550690e-13
4.89200000e-01 5.11715084e-13
4.90770000e-01 2.74609682e-10
4.91960000e-01 7.52477739e-14
4.92060000e-01 4.18668343e-11
4.93450000e-01 7.00530137e-12
4.98830000e-01 1.75766380e-11
5.03050000e-01 1.62069526e-13
5.05910000e-01 6.09220511e-13
5.08750000e-01 9.68959012e-14
5.09450000e-01 2.89989499e-10
5.10870000e-01 4.74567848e-11
5.12210000e-01 9.44882181e-12
5.17770000e-01 2.35719115e-11
5.20480000e-01 1.96099053e-13
5.23180000e-01 7.19676993e-13
5.26110000e-01 1.26284168e-13
5.28830000e-01 3.00635774e-10
5.30410000e-01 5.32507762e-11
5.31690000e-01 1.22341475e-11
5.37430000e-01 3.03520608e-11
5.38510000e-01 2.34744341e-13
5.41050000e-01 8.44874924e-13
5.44060000e-01 1.65511122e-13
5.48960000e-01 3.13745839e-10
5.50690000e-01 5.91770747e-11
5.51910000e-01 1.53233482e-11
5.57160000e-01 2.78426788e-13
5.57840000e-01 3.78200253e-11
5.59530000e-01 9.85356575e-13
5.62630000e-01 2.17028912e-13
5.69850000e-01 3.28204499e-10
5.71740000e-01 6.51707770e-11
5.72900000e-01 1.86951720e-11
5.76470000e-01 3.27220750e-13
5.78640000e-01 1.14131387e-12
5.79020000e-01 4.59170700e-11
5.81830000e-01 2.83800907e-13
5.91540000e-01 3.43382783e-10
5.93600000e-01 7.11773101e-11
5.94690000e-01 2.23291767e-11
5.96440000e-01 3.81249673e-13
5.98400000e-01 1.31424531e-12
6.01010000e-01 5.45742977e-11
6.01680000e-01 3.69566022e-13
6.14050000e-01 3.51063029e-10
6.16300000e-01 7.71529933e-11
6.17100000e-01 4.40545745e-13
6.17300000e-01 2.62101007e-11
6.18830000e-01 1.50622068e-12
6.22210000e-01 4.78712519e-13
6.23830000e-01 6.37338943e-11
6.37420000e-01 3.67840678e-10
6.38480000e-01 5.05297951e-13
6.39860000e-01 8.30534087e-11
6.39970000e-01 1.71828782e-12
6.40780000e-01 3.03168236e-11
6.43450000e-01 6.16115494e-13
6.47520000e-01 7.33231261e-11
6.60600000e-01 5.75215818e-13
6.61680000e-01 3.79469391e-10
6.61820000e-01 1.95158872e-12
6.64330000e-01 8.88710550e-11
6.65150000e-01 3.46386439e-11
6.65400000e-01 7.87569551e-13
6.72110000e-01 8.32747508e-11
6.83490000e-01 6.50152041e-13
6.84420000e-01 2.20944491e-12
6.86860000e-01 3.92924797e-10
6.88110000e-01 9.99961909e-13
6.89730000e-01 9.45760637e-11
6.90440000e-01 3.91683129e-11
6.97640000e-01 9.35170448e-11
7.07160000e-01 7.29661008e-13
7.07800000e-01 2.49748417e-12
7.11590000e-01 1.26194926e-12
7.13000000e-01 3.98790823e-10
7.16100000e-01 1.00133552e-10
7.16700000e-01 4.39025565e-11
7.24130000e-01 1.03984818e-10
7.31660000e-01 8.13367495e-13
7.31970000e-01 2.82003006e-12
7.35880000e-01 1.58201720e-12
7.40130000e-01 4.10846774e-10
7.43480000e-01 1.05555062e-10
7.43960000e-01 4.88559425e-11
7.51630000e-01 1.14606886e-10
7.56960000e-01 3.17946424e-12
7.57010000e-01 9.00914707e-13
7.60990000e-01 1.96913525e-12
7.68300000e-01 4.22492574e-10
7.71910000e-01 1.10801939e-10
7.72250000e-01 5.40533155e-11
7.80170000e-01 1.25317295e-10
7.82820000e-01 3.58315707e-12
7.83240000e-01 9.92676057e-13
7.86960000e-01 2.43288883e-12
7.97540000e-01 4.33250116e-10
8.01420000e-01 1.15865425e-10
8.01620000e-01 5.95388557e-11
8.09550000e-01 4.04716493e-12
8.09790000e-01 1.36058410e-10
8.10370000e-01 1.08802908e-12
8.13810000e-01 2.98434676e-12
8.27890000e-01 4.40502059e-10
8.32060000e-01 1.20725566e-10
8.32100000e-01 6.53870671e-11
8.37200000e-01 4.58876859e-12
8.38450000e-01 1.18636586e-12
8.40550000e-01 1.46764837e-10
8.41580000e-01 3.63591877e-12
8.59400000e-01 4.50983461e-10
8.63750000e-01 7.17518944e-11
8.63870000e-01 1.25373654e-10
8.65790000e-01 5.22676093e-12
8.67490000e-01 1.28815866e-12
8.70300000e-01 4.40240397e-12
8.72460000e-01 1.57404705e-10
8.92110000e-01 4.54748563e-10
8.95350000e-01 5.98410285e-12
8.96590000e-01 7.88374974e-11
8.96900000e-01 1.29798365e-10
8.97550000e-01 1.39255644e-12
9.00000000e-01 5.29883942e-12
9.05600000e-01 1.67926669e-10
9.25930000e-01 6.89034193e-12
9.26060000e-01 4.64163186e-10
9.28640000e-01 1.50032319e-12
9.30690000e-01 8.67651514e-11
9.30710000e-01 6.33794634e-12
9.31200000e-01 1.33993708e-10
9.39980000e-01 1.78315907e-10
9.57550000e-01 7.98056391e-12
9.60810000e-01 1.61079209e-12
9.61300000e-01 4.70580309e-10
